Date,V_Price,MA_Price,Beta,Spread,Z-Score,Position
2023-05-11,379.5242614746094,227.9576416015625,1.664884900495458,0.0010260196127092058,-0.11509805195247924,0.0
2023-05-12,378.069091796875,228.32275390625,1.6558710230451887,-0.003940298362067551,-1.1778282557153885,1.0
2023-05-16,376.40594482421875,227.4247589111328,1.6550732923711053,0.0013003264652979851,0.025913580838604223,0.0
2023-05-17,383.09783935546875,229.57595825195312,1.6686935379247532,0.005921357551642359,1.02986622965584,-1.0
2023-05-19,381.6822204589844,230.22726440429688,1.6578979247478065,-0.011083417263932915,-2.2487593342202077,1.0
2023-05-23,369.98138427734375,221.6125946044922,1.6694929031247197,0.0007303420885023115,-0.0976187082728893,0.0
2023-06-01,367.1403503417969,223.50723266601562,1.642661022539504,-0.006269014335202883,-1.2073102150204904,1.0
2023-06-05,366.7839660644531,223.77366638183594,1.6390838068728015,0.00017309342922544602,0.17929006526321933,0.0
2023-06-06,376.1288146972656,225.2045135498047,1.6701044829003096,0.01374704835330931,2.4432659214975327,-1.0
2023-06-07,367.6452331542969,222.29347229003906,1.653905992109082,-0.007272672932913338,-1.3185583497282485,1.0
2023-06-09,365.4971008300781,220.60609436035156,1.6567788084127906,0.0015986871352424714,0.33061114091715815,0.0
2023-06-14,370.9812316894531,220.48765563964844,1.6825182723057237,0.006722257892477046,1.0964661382332492,-1.0
2023-06-15,375.2181091308594,223.18157958984375,1.6812260565223036,-0.0005778113923042838,-0.15637522854656752,0.0
2023-06-16,372.7333984375,225.88539123535156,1.650160383308101,-0.013725347128115573,-2.137878384874019,1.0
2023-06-22,373.9906005859375,225.3722686767578,1.6594368173799132,-0.00043967271221845294,-0.038568404934278856,0.0
2023-07-20,394.6161804199219,236.45384216308594,1.6688724706641183,0.00487265118920277,1.4201448371701,-1.0
2023-07-21,394.05108642578125,236.0887908935547,1.6690796599521671,8.760264870488754e-05,-0.03913377317079649,0.0
2023-07-24,401.28790283203125,237.55906677246094,1.6891776147109354,0.008445068369837827,2.0714113109040126,-1.0
2023-07-25,397.80828857421875,235.53616333007812,1.6889482284457165,-9.72170176396503e-05,-0.11982246554262932,0.0
2023-07-26,398.92852783203125,233.96719360351562,1.705032485355222,0.006862230642639133,1.7418320012391706,-1.0
2023-07-27,391.0869445800781,231.3423309326172,1.6905388504410124,-0.006253613092781052,-1.7375221496842947,1.0
2023-08-03,389.6098327636719,235.605224609375,1.653647662160239,0.0018038956409327511,0.4315900088013289,0.0
2023-08-22,394.3980407714844,237.83773803710938,1.6582445140834419,0.00491642943302395,1.46646916785896,-1.0
2023-08-31,409.07000732421875,242.88967895507812,1.684182652458312,-0.0005764330925330796,-0.47807769746031864,0.0
2023-09-01,411.9746398925781,245.29209899902344,1.679534454379057,-0.0018917632403372409,-1.085954588762225,1.0
2023-09-05,407.93988037109375,242.5535430908203,1.6818510324600322,0.0009534969586866282,0.12923903277053178,0.0
2023-09-11,413.0849609375,244.4121856689453,1.6901027493718126,0.0032539584415758327,1.1298533341289927,-1.0
2023-09-13,412.6983642578125,245.01527404785156,1.6843839073192315,-0.0014203957999825434,-1.0061732992676327,1.0
2023-09-14,409.7639465332031,238.75717163085938,1.7161815407049197,0.013295869405965277,3.386738267373946,-1.0
2023-09-18,413.52117919921875,241.8812713623047,1.7096273232062695,-0.0056512936475314746,-1.833987988138692,1.0
2023-09-25,399.0077819824219,230.70960998535156,1.729454682422577,0.005966713369105037,1.1837976706056528,-1.0
2023-10-02,392.42529296875,228.64332580566406,1.716339212543432,-0.0042127978548478495,-1.2478352524411938,1.0
2023-10-06,395.0988464355469,232.37051391601562,1.7002879081926865,0.0020714036251092693,0.3943303582986671,0.0
2023-10-13,395.1584167480469,234.9706573486328,1.6817609081397857,-0.006049340792287694,-1.5182760086126854,1.0
2023-10-23,380.9020080566406,228.90037536621094,1.6640324936901674,0.004345629389263195,1.8972652094319884,-1.0
2023-10-25,383.5229797363281,234.1599884033203,1.6378998624536432,-0.00763306161690025,-1.723754886591619,1.0
2023-10-27,361.45330810546875,226.6660614013672,1.594628831493994,0.005071473660677839,1.2850045983754101,-1.0
2023-11-15,393.967041015625,245.81430053710938,1.6027198962464777,-0.004429237111423845,-0.47187932041490727,0.0
2023-11-27,406.01953125,251.7884979248047,1.6125622773163302,-0.00510236568112532,-1.590237528780358,1.0
2023-12-01,411.3705749511719,254.07713317871094,1.619072085312121,0.0013811053908625581,0.2115065096454037,0.0
2023-12-04,405.2848815917969,252.08572387695312,1.6077442310925305,-0.0044867121590641545,-1.7378501039327083,1.0
2023-12-06,407.41937255859375,251.93711853027344,1.6171334277860407,0.003436483194604989,1.043888094830782,-1.0
2023-12-12,417.71453857421875,257.15838623046875,1.6243466509968976,0.0001751249901644769,-0.0027225700360828118,0.0
2023-12-18,421.36798095703125,255.9793701171875,1.6460699926537061,0.008021068732091408,2.3335483519063738,-1.0
2023-12-26,420.6134338378906,256.7620544433594,1.6381543343295613,-0.002438539861316258,-1.0308447599350001,1.0
2023-12-27,421.2984619140625,256.5341491699219,1.6422642506145397,0.001599670482221427,0.4182501857200979,0.0
2024-01-02,418.8462829589844,256.4747619628906,1.633102542756725,-0.0033029555380608144,-1.245399642333756,1.0
2024-01-10,425.8503723144531,262.1120910644531,1.6246676688156183,0.005332356381018144,1.8416081181238526,-1.0
2024-01-11,424.3091735839844,261.58697509765625,1.6220615275688748,-0.0009948350411264073,-0.3279064354243026,0.0
2024-01-16,425.929931640625,262.7857971191406,1.6208391166185407,-0.0035676218619755673,-1.1547012483304182,1.0
2024-01-19,434.31231689453125,268.3934020996094,1.6181846229135608,0.0022407254871836813,1.0144634894294242,-1.0
2024-01-23,436.2811584472656,268.7500915527344,1.6233767360605325,-0.0014879935815770295,-0.4578111742474664,0.0
2024-01-25,434.3321838378906,270.08758544921875,1.608133430952922,-0.00469160835200455,-1.5106158463332637,1.0
2024-01-26,436.05242919921875,265.4608154296875,1.642575653689146,0.012956765946057658,3.194444263549746,-1.0
2024-01-29,438.0908203125,271.12786865234375,1.6158452007281603,-0.009845033044655338,-2.0309471388606246,1.0
2024-01-31,446.6919860839844,270.7315979003906,1.6498926279697408,0.013918549661752877,2.4385096159755455,-1.0
2024-02-02,457.9778747558594,274.6153259277344,1.6677095319732367,-0.0007219197603944849,-0.28095128645096684,0.0
2024-02-20,449.19775390625,273.1124267578125,1.644787520734429,-0.014157382495739057,-2.2463600283303236,1.0
2024-02-26,471.82916259765625,282.0457458496094,1.6728809135279743,0.0002176240828362097,-0.0568458765807258,0.0
2024-03-04,465.8431396484375,278.45257568359375,1.6729882515608747,-0.004748087080145069,-1.1575693258045445,1.0
2024-03-05,464.87860107421875,277.3111267089844,1.6763747886975895,0.0012196339545766932,0.2388647559444203,0.0
2024-03-22,478.94873046875,281.162353515625,1.7034373876277566,0.0062654968219248985,2.4665706015814823,-1.0
2024-03-25,473.35052490234375,279.1275329589844,1.695831440726785,-0.0027214620038762405,-1.2862579964546386,1.0
2024-03-27,475.24969482421875,276.9537048339844,1.7159717490915911,0.00496152285035123,1.6403750929502,-1.0
